disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh
4810,2024-08-20T00:00:00.000Z,"SEVERE STORM, FLOODING, LANDSLIDES, AND MUDSLIDES",2024-07-09T00:00:00.000Z,2024-07-11T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Severe Storm,2024-08-20T00:00:00.000Z,2024-08-22T00:00:00.000Z,,1,1,0,1,1,"F,M,W",2024-08-02T00:00:00.000Z,308404a0-78f7-4bf9-9b52-35c6786136d1,79c6031e06b154d7d3a9fb9cb2419c939e331458,2024-10-09T19:01:58.075Z
4809,2024-08-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2024-06-20T00:00:00.000Z,2024-06-21T00:00:00.000Z,Major Disaster,NM,New Mexico                    ,Flood,2024-08-20T00:00:00.000Z,2024-08-20T00:00:00.000Z,,6,0,0,1,1,"F,W",2024-08-06T00:00:00.000Z,ac7d228f-814e-4d01-96eb-1fc8df356511,1294256e0dec36a6f86b59f9e4e5e064887be863,2024-10-09T19:01:58.075Z
3611,2024-08-18T00:00:00.000Z,TROPICAL STORM ERNESTO,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.    ,Tropical Storm,2024-08-18T00:00:00.000Z,2024-08-26T00:00:00.000Z,,2,0,0,1,0,"4,M,W,Z",2024-08-16T00:00:00.000Z,bab976b1-7ef0-43e1-a524-3b722607bcc5,4965de4d823cf36812ea6db88dbce64a50e2a1c0,2024-10-09T19:01:58.075Z
4807,2024-08-15T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING",2024-06-16T00:00:00.000Z,2024-07-08T00:00:00.000Z,Major Disaster,SD,South Dakota                  ,Flood,2024-08-16T00:00:00.000Z,2024-08-16T00:00:00.000Z,,8,1,0,1,1,"2,F,W",2024-07-26T00:00:00.000Z,6981d9ef-db57-4101-a72b-3e16c0390331,fcf1d21ee6d00232a73a5ec63689fd1c2fe2701a,2024-10-09T19:01:58.075Z
3610,2024-08-13T00:00:00.000Z,TROPICAL STORM ERNESTO,2024-08-13T00:00:00.000Z,2024-08-16T00:00:00.000Z,Emergency,PR,Puerto Rico                   ,Severe Storm,2024-08-14T00:00:00.000Z,2024-09-24T00:00:00.000Z,,2,0,0,1,0,"4,F,M,W,Z",2024-08-13T00:00:00.000Z,451c0cd8-3c7a-4032-9096-5b23bf3513ab,02d4ec600cf492d811f79f77a25532fd88495409,2024-10-09T19:01:58.075Z
5530,2024-08-12T00:00:00.000Z,GOLD RANCH FIRE,2024-08-11T00:00:00.000Z,,Fire Management,NV,Nevada                        ,Fire,2024-08-19T00:00:00.000Z,2024-08-19T00:00:00.000Z,,9,0,0,1,1,R,2024-08-11T00:00:00.000Z,01597e69-3d09-4985-8cd1-001c0cfdab4a,465214dead082c1bc6ade6fdf44f9d823ac6e7fc,2024-10-09T19:01:58.075Z
4806,2024-08-10T00:00:00.000Z,HURRICANE DEBBY,2024-08-01T00:00:00.000Z,2024-08-27T00:00:00.000Z,Major Disaster,FL,Florida                       ,Tropical Storm,2024-08-11T00:00:00.000Z,2024-09-27T00:00:00.000Z,,4,1,0,1,1,"4,H",2024-08-09T00:00:00.000Z,fb369dd1-1234-4853-9e11-3463a327824e,7292a88757149ddca46a75bd08caa7d691a34289,2024-10-09T19:01:58.075Z
5529,2024-08-09T00:00:00.000Z,LEE FALLS FIRE,2024-08-08T00:00:00.000Z,,Fire Management,OR,Oregon                        ,Fire,2024-08-12T00:00:00.000Z,2024-08-12T00:00:00.000Z,,10,0,0,1,1,R,2024-08-09T00:00:00.000Z,0af3908f-21d6-40ab-a177-62978164a1f1,d4b8bf53fca0c5479fd65ad1575ef14b19866c76,2024-10-09T19:01:58.075Z
3609,2024-08-08T00:00:00.000Z,TROPICAL DEPRESSION DEBBY,2024-08-08T00:00:00.000Z,2024-08-10T00:00:00.000Z,Emergency,VT,Vermont                       ,Tropical Storm,2024-08-09T00:00:00.000Z,2024-08-15T00:00:00.000Z,,1,0,0,1,0,"4,8",2024-08-08T00:00:00.000Z,8f4fb252-8b1f-44e9-a01f-129eae12fd92,704a65e39b4c99a0c8deee52531939a4072b3042,2024-10-09T19:01:58.075Z
3608,2024-08-06T00:00:00.000Z,TROPICAL STORM DEBBY,2024-08-05T00:00:00.000Z,2024-08-19T00:00:00.000Z,Emergency,NC,North Carolina                ,Tropical Storm,2024-08-07T00:00:00.000Z,2024-08-26T00:00:00.000Z,,4,0,0,1,0,4,2024-08-06T00:00:00.000Z,d191b307-1e36-47bc-b249-84c674727c3a,4b29a7a68bb989f65a8290fd608bc710d3ffa681,2024-10-09T19:01:58.075Z
