"","AMZN","COST","Date"
"233",8.97,80.19,"2012-01-12"
"234",8.98,79.32,"2012-01-11"
"235",9.06,79.37,"2012-01-10"
"236",9.14,80.34,"2012-01-09"
"237",8.9,83.17,"2012-01-06"
"238",8.8,83.57,"2012-01-05"
"239",8.96,84.67,"2012-01-04"
"240",8.79,84.28,"2012-01-03"
"241",8.67,84.12,"2011-12-30"
"242",8.48,84.2,"2011-12-29"
"243",8.82,84.58,"2011-12-28"
"244",8.89,84.5,"2011-12-27"
"245",8.96,83.69,"2011-12-23"
"246",8.75,83.95,"2011-12-22"
"247",9.1,83.59,"2011-12-21"
"248",9.13,83.15,"2011-12-20"
"249",9.1,82.8,"2011-12-19"
"250",9.12,83.07,"2011-12-16"
"251",9.1,83.1,"2011-12-15"
"252",8.95,83.57,"2011-12-14"
"253",9.43,84.6,"2011-12-13"
"254",9.5,84.1,"2011-12-12"
"255",9.56,84.68,"2011-12-09"
"256",9.68,84.87,"2011-12-08"
"257",9.55,87.69,"2011-12-07"
"258",9.8,87.56,"2011-12-06"
"259",9.94,87.79,"2011-12-05"
"260",9.85,87.65,"2011-12-02"
"261",9.59,85,"2011-12-01"
"262",9.74,84.93,"2011-11-30"
"263",9.74,82.64,"2011-11-29"
"264",9.58,82.76,"2011-11-28"
"265",9.52,80.35,"2011-11-25"
"266",9.65,81.29,"2011-11-23"
"267",9.35,81.22,"2011-11-22"
"268",9.66,81.22,"2011-11-21"
"269",10.27,82.06,"2011-11-18"
"270",10.63,82.64,"2011-11-17"
"271",10.81,83.94,"2011-11-16"
"272",10.9,83.41,"2011-11-15"
"273",10.78,82.74,"2011-11-14"
"274",10.63,83.35,"2011-11-11"
"275",10.68,84.02,"2011-11-10"
"276",10.75,83.57,"2011-11-09"
"277",10.96,84.14,"2011-11-08"
"278",10.84,83.69,"2011-11-07"
"279",10.88,84.52,"2011-11-04"
"280",10.81,83.89,"2011-11-03"
"281",10.78,84.04,"2011-11-02"
"282",10.41,82.37,"2011-11-01"
"283",10.79,84.55,"2011-10-31"
"284",10.33,84.65,"2011-10-28"
"285",10.21,85,"2011-10-27"
"286",10.18,83.41,"2011-10-26"
"287",11.93,83.45,"2011-10-25"
"288",11.8,84.83,"2011-10-24"
"289",11.85,84.77,"2011-10-21"
"290",11.61,84.38,"2011-10-20"
"291",12.03,84.39,"2011-10-19"
"292",12.12,82.35,"2011-10-18"
"293",12.21,81.57,"2011-10-17"
"294",12.04,82.07,"2011-10-14"
"295",11.85,81.44,"2011-10-13"
"296",11.83,81.51,"2011-10-12"
"297",11.53,80.98,"2011-10-11"
