Date,Open,High,Low,Close,Adj Close,Volume
"Sep 5, 2012",98.25,98.48,97.77,98.22,72.59,"1,156,500"
"Sep 4, 2012",97.79,98.61,97.07,98.15,72.54,"1,184,800"
"Aug 31, 2012",99.28,99.28,97.71,97.87,72.33,"1,692,600"
"Aug 30, 2012",97.56,99.06,96.55,98.59,72.87,"2,426,400"
"Aug 29, 2012",95.6,97.27,95.6,97.11,71.77,"1,494,700"
"Aug 28, 2012",96.32,97.13,96.21,96.57,71.37,"908,000"
"Aug 27, 2012",96.15,96.85,95.83,96.64,71.42,"1,112,100"
"Aug 24, 2012",94.68,96.41,94.39,96.25,71.14,"1,257,400"
"Aug 23, 2012",95.18,95.49,94.69,94.74,70.02,"1,155,700"
"Aug 22, 2012",95.33,95.98,95.05,95.53,70.6,"842,300"
"Aug 21, 2012",95.95,96.13,95.16,95.29,70.43,"1,256,200"
"Aug 20, 2012",96,96.12,95.64,96.02,70.97,"684,400"
"Aug 17, 2012",96.79,96.84,95.86,96.14,71.06,"1,520,600"
"Aug 16, 2012",96.23,96.61,95.7,96.48,71.31,"1,638,100"
"Aug 15, 2012",95.84,96.89,95.51,96.47,71.3,"1,082,300"
"Aug 14, 2012",96,96,95.37,95.67,70.71,"1,187,400"
"Aug 13, 2012",95.08,95.63,94.84,95.63,70.68,"830,500"
"Aug 10, 2012",95.02,95.43,94.51,95.3,70.43,"1,214,900"
"Aug 9, 2012",95.82,95.9,95.05,95.37,70.49,"1,007,000"
"Aug 8, 2012",95.94,96.35,95.44,95.63,70.68,"1,369,700"
"Aug 7, 2012",96.72,96.93,95.75,95.8,70.6,"1,705,400"
"Aug 6, 2012",97.18,97.2,96.42,96.5,71.12,"1,071,400"
"Aug 3, 2012",97,97.38,96.71,97.21,71.64,"1,371,600"
"Aug 2, 2012",95.6,96.34,95,95.7,70.53,"1,373,500"
"Aug 1, 2012",96.43,97.17,95.63,95.94,70.7,"2,839,100"
"Jul 31, 2012",96.14,96.58,95.56,96.18,70.88,"1,361,900"
"Jul 30, 2012",97.11,97.3,96.14,96.46,71.09,"1,838,100"
"Jul 27, 2012",96.15,97.76,96.07,97.11,71.57,"1,564,700"
"Jul 26, 2012",94.95,96.13,94.86,95.91,70.68,"1,562,100"
"Jul 25, 2012",94.19,94.25,93.2,93.75,69.09,"1,462,300"
"Jul 24, 2012",94.52,94.52,93.43,94.08,69.33,"1,278,300"
"Jul 23, 2012",95.11,95.11,93.87,94.39,69.56,"1,546,900"
"Jul 20, 2012",95.8,96.4,95.09,95.61,70.46,"2,024,400"
"Jul 19, 2012",96.02,96.38,95.07,95.95,70.71,"1,602,300"
"Jul 18, 2012",95.68,96.43,95.52,95.96,70.72,"1,788,400"
"Jul 17, 2012",95.3,96.35,94.91,96.06,70.79,"1,767,900"
"Jul 16, 2012",94.54,95.36,94.1,95.15,70.12,"1,313,900"
"Jul 13, 2012",94.11,94.97,93.74,94.81,69.87,"1,510,000"
"Jul 12, 2012",94.09,94.24,93.11,94.02,69.29,"1,895,200"
